granularity,dataset_setting,table_group,period,display_name,method,selection_variant,inspired_by,uses_cluster,total,updated,review_ratio,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,mal_rate_selected,time_sec,source_file
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2019,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,3311,989,0.2987012987012987,0.5144674637892961,0.9517684887459807,0.4353333333333333,0.4346666666666666,0.6114158628081459,0.1904271706536571,0.096056622851365,2.7286,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2020,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,3330,1499,0.45015015015015014,0.9387932654211562,0.8787878787878788,0.0106666666666666,0.0504375,0.9619055555555556,0.920353286315828,0.0967311541027351,2.8741,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2021,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,3333,994,0.2982298229822982,0.8212516463122606,0.5255255255255256,0.0046666666666666,0.1831619469026548,0.8929849849849849,0.6697592664228817,0.1116700201207243,2.9179,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2022,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,3331,989,0.2969078354848394,0.9767680290138094,0.9697885196374624,0.006,0.0027841121495327,0.9862351460221552,0.9680801815663306,0.0950455005055611,2.9828,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2023,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,3362,1510,0.4491374182034503,0.9388267947628488,0.8259668508287292,0.0036666666666666,0.0673333333333333,0.9544438305709022,0.4904509303943126,0.1072847682119205,2.7145,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2017,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,5584,1675,0.2999641833810888,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,0.0973134328358208,2.9594,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2018,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,3314,994,0.299939649969825,0.8731352104293253,0.7261146496815286,0.017,0.0243728395061728,0.9802266454352442,0.845095083950811,0.1036217303822937,1.9177,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2019,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,3311,993,0.29990939293264873,0.1799952693604797,0.977491961414791,0.9026666666666666,0.8976666666666666,0.2795669882100751,0.2493356235043106,0.0876132930513595,2.0646,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2020,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,3330,999,0.3,0.9566158501971922,0.8696969696969697,0.002,0.05875,0.9608535353535352,0.5786860543568267,0.082082082082082,2.2073,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2021,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,3333,999,0.29972997299729975,0.830141803310018,0.5255255255255256,0.0006666666666666,0.7847877697841728,0.7681191191191191,0.4914863312521251,0.1001001001001001,2.3611,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2022,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,3331,1498,0.4497148003602522,0.9720121110994688,0.9697885196374624,0.008,0.0046401869158878,0.9860770392749244,0.9589415426369154,0.1001335113484646,2.1933,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2023,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,3362,1008,0.2998215348007139,0.9391485473216242,0.8314917127071824,0.0043333333333333,0.069,0.9520322283609576,0.4875785892544153,0.1091269841269841,2.0747,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2017,Proposed,Proposed,Proposed,,,5584,1660,0.29727793696275073,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,0.1560240963855421,3.8026,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2018,Proposed,Proposed,Proposed,,,3314,986,0.2975256487628244,0.8722886961689267,0.767515923566879,0.024,0.0369555555555555,0.957609872611465,0.8250585362392708,0.1095334685598377,2.6227,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2019,Proposed,Proposed,Proposed,,,3311,989,0.2987012987012987,0.5292579603602323,0.842443729903537,0.384,0.47,0.6408810289389069,0.1598443615522422,0.096056622851365,2.6856,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2020,Proposed,Proposed,Proposed,,,3330,1499,0.45015015015015014,0.9562727272727272,0.9212121212121211,0.0086666666666666,0.0085208333333333,0.9646727272727272,0.9250477707705832,0.0967311541027351,2.8424,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2021,Proposed,Proposed,Proposed,,,3333,994,0.2982298229822982,0.8184521299095583,0.5225225225225225,0.0053333333333333,0.0696398230088495,0.9352922922922924,0.7481386109155077,0.1116700201207243,2.9069,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2022,Proposed,Proposed,Proposed,,,3331,989,0.2969078354848394,0.9493014875850668,0.9697885196374624,0.018,0.007114953271028,0.9840080563947632,0.9478017060586388,0.0950455005055611,2.8997,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2023,Proposed,Proposed,Proposed,,,3362,1510,0.4491374182034503,0.9398918707101878,0.8314917127071824,0.004,0.0683333333333333,0.954005985267035,0.9082514391745444,0.1072847682119205,2.7106,results/performance/yearly/yearly_imbalanced_ablation_results.csv
