cluster_id,month,top_feature_jaccard_vs_prev,n_features
35,2017-02,0.25,10
35,2017-03,0.8181818181818182,10
35,2017-04,1.0,10
35,2017-05,1.0,10
35,2017-06,1.0,10
35,2017-07,1.0,10
35,2017-08,1.0,10
35,2017-09,1.0,10
35,2017-10,1.0,10
35,2017-11,1.0,10
35,2017-12,1.0,10
35,2018-01,1.0,10
35,2018-02,1.0,10
35,2018-03,1.0,10
35,2018-04,1.0,10
35,2018-05,1.0,10
35,2018-06,1.0,10
35,2018-07,1.0,10
35,2018-08,1.0,10
35,2018-09,0.8181818181818182,10
35,2018-10,1.0,10
35,2018-11,0.1,12
35,2018-12,1.0,12
36,2016-05,1.0,10
36,2016-06,0.5384615384615384,10
36,2016-07,1.0,10
36,2016-08,1.0,10
36,2016-09,1.0,10
36,2016-10,1.0,10
36,2016-11,1.0,10
36,2016-12,1.0,10
36,2017-01,0.6153846153846154,11
36,2017-02,0.29411764705882354,11
36,2017-03,1.0,11
36,2017-04,1.0,11
36,2017-05,1.0,11
36,2017-06,0.7692307692307693,12
36,2017-07,1.0,12
36,2017-08,1.0,12
36,2017-09,1.0,12
36,2017-10,1.0,12
36,2017-11,1.0,12
36,2017-12,1.0,12
36,2018-01,1.0,12
36,2018-02,1.0,12
36,2018-03,1.0,12
36,2018-04,1.0,12
36,2018-05,1.0,12
36,2018-06,1.0,12
36,2018-07,1.0,12
36,2018-08,1.0,12
36,2018-09,1.0,12
36,2018-10,1.0,12
36,2018-11,0.4666666666666667,10
36,2018-12,1.0,10
37,2016-05,1.0,10
37,2016-06,0.25,10
37,2016-07,1.0,10
37,2016-08,1.0,10
37,2016-09,0.8181818181818182,10
37,2016-10,1.0,10
37,2016-11,1.0,10
37,2016-12,1.0,10
37,2017-01,1.0,10
37,2017-02,0.17647058823529413,10
37,2017-03,1.0,10
37,2017-04,1.0,10
37,2017-05,1.0,10
37,2017-06,1.0,10
37,2017-07,1.0,10
37,2017-08,1.0,10
37,2017-09,0.8181818181818182,10
37,2017-10,1.0,10
37,2017-11,0.8181818181818182,10
37,2017-12,1.0,10
37,2018-01,1.0,10
37,2018-02,1.0,10
37,2018-03,1.0,10
37,2018-04,1.0,10
37,2018-05,1.0,10
37,2018-06,1.0,10
37,2018-07,1.0,10
37,2018-08,1.0,10
37,2018-09,1.0,10
37,2018-10,1.0,10
37,2018-11,0.4,11
37,2018-12,1.0,11
38,2016-05,0.6666666666666666,10
38,2016-06,0.23529411764705882,11
38,2016-07,0.8333333333333334,11
38,2016-08,1.0,11
38,2016-09,1.0,11
38,2016-10,1.0,11
38,2016-11,1.0,11
38,2016-12,1.0,11
38,2017-01,0.8333333333333334,11
38,2017-02,0.375,11
38,2017-03,1.0,11
38,2017-04,1.0,11
38,2017-05,1.0,11
38,2017-06,1.0,11
38,2017-07,1.0,11
38,2017-08,1.0,11
38,2017-09,1.0,11
38,2017-10,1.0,11
38,2017-11,1.0,11
38,2017-12,1.0,11
38,2018-01,1.0,11
38,2018-02,1.0,11
38,2018-03,1.0,11
38,2018-04,1.0,11
38,2018-05,1.0,11
38,2018-06,1.0,11
38,2018-07,1.0,11
38,2018-08,1.0,11
38,2018-09,1.0,11
38,2018-10,1.0,11
38,2018-11,0.5,10
38,2018-12,1.0,10
39,2016-05,1.0,11
39,2016-06,0.4666666666666667,11
39,2016-07,0.6153846153846154,10
39,2016-08,1.0,10
39,2016-09,1.0,10
39,2016-10,1.0,10
39,2016-11,1.0,10
39,2016-12,1.0,10
39,2017-01,1.0,10
39,2017-02,0.6666666666666666,10
39,2017-03,1.0,10
39,2017-04,1.0,10
39,2017-05,1.0,10
39,2017-06,1.0,10
39,2017-07,1.0,10
39,2017-08,1.0,10
39,2017-09,1.0,10
39,2017-10,1.0,10
39,2017-11,1.0,10
39,2017-12,1.0,10
39,2018-01,1.0,10
39,2018-02,1.0,10
39,2018-03,1.0,10
39,2018-04,1.0,10
39,2018-05,1.0,10
39,2018-06,1.0,10
39,2018-07,1.0,10
39,2018-08,1.0,10
39,2018-09,1.0,10
39,2018-10,1.0,10
39,2018-11,0.5384615384615384,10
39,2018-12,1.0,10
40,2016-06,0.5,10
40,2016-07,1.0,10
40,2016-08,0.75,11
40,2016-09,1.0,11
40,2016-10,1.0,11
40,2016-11,1.0,11
40,2016-12,1.0,11
40,2017-01,0.75,10
40,2017-02,0.8181818181818182,10
40,2017-03,1.0,10
40,2017-04,1.0,10
40,2017-05,1.0,10
40,2017-06,1.0,10
40,2017-07,1.0,10
40,2017-08,1.0,10
40,2017-09,1.0,10
40,2017-10,1.0,10
40,2017-11,1.0,10
40,2017-12,1.0,10
40,2018-01,1.0,10
40,2018-02,1.0,10
40,2018-03,1.0,10
40,2018-04,1.0,10
40,2018-05,1.0,10
40,2018-06,1.0,10
40,2018-07,1.0,10
40,2018-08,1.0,10
40,2018-09,1.0,10
40,2018-10,1.0,10
40,2018-11,0.5384615384615384,10
40,2018-12,1.0,10
41,2016-06,0.4,11
41,2016-07,1.0,11
41,2016-08,0.75,10
41,2016-09,1.0,10
41,2016-10,1.0,10
41,2016-11,1.0,10
41,2016-12,1.0,10
41,2017-01,1.0,10
41,2017-02,0.75,11
41,2017-03,0.8333333333333334,11
41,2017-04,0.6153846153846154,10
41,2017-05,1.0,10
41,2017-06,1.0,10
41,2017-07,1.0,10
41,2017-08,1.0,10
41,2017-09,1.0,10
41,2017-10,1.0,10
41,2017-11,1.0,10
41,2017-12,1.0,10
41,2018-01,1.0,10
41,2018-02,1.0,10
41,2018-03,1.0,10
41,2018-04,1.0,10
41,2018-05,1.0,10
41,2018-06,1.0,10
41,2018-07,1.0,10
41,2018-08,1.0,10
41,2018-09,1.0,10
41,2018-10,1.0,10
41,2018-11,0.3125,11
41,2018-12,1.0,11
42,2016-06,0.4,10
42,2016-07,1.0,10
42,2016-08,1.0,10
42,2016-09,1.0,10
42,2016-10,1.0,10
42,2016-11,1.0,10
42,2016-12,1.0,10
42,2017-01,1.0,10
42,2017-02,0.23529411764705882,11
42,2017-03,1.0,11
42,2017-04,0.6923076923076923,11
42,2017-05,1.0,11
42,2017-06,1.0,11
42,2017-07,1.0,11
42,2017-08,1.0,11
42,2017-09,1.0,11
42,2017-10,0.8333333333333334,11
42,2017-11,1.0,11
42,2017-12,1.0,11
42,2018-01,1.0,11
42,2018-02,1.0,11
42,2018-03,1.0,11
42,2018-04,0.8333333333333334,11
42,2018-05,0.8333333333333334,11
42,2018-06,0.8333333333333334,11
42,2018-07,1.0,11
42,2018-08,1.0,11
42,2018-09,1.0,11
42,2018-10,1.0,11
42,2018-11,0.1,11
42,2018-12,1.0,11
43,2016-07,1.0,11
43,2016-08,1.0,11
43,2016-09,1.0,11
43,2016-10,1.0,11
43,2016-11,1.0,11
43,2016-12,1.0,11
43,2017-01,1.0,11
43,2017-02,0.4666666666666667,11
43,2017-03,0.8333333333333334,11
43,2017-04,1.0,11
43,2017-05,0.8333333333333334,11
43,2017-06,1.0,11
43,2017-07,1.0,11
43,2017-08,1.0,11
43,2017-09,1.0,11
43,2017-10,1.0,11
43,2017-11,1.0,11
43,2017-12,1.0,11
43,2018-01,1.0,11
43,2018-02,1.0,11
43,2018-03,1.0,11
43,2018-04,1.0,11
43,2018-05,0.8333333333333334,11
43,2018-06,1.0,11
43,2018-07,1.0,11
43,2018-08,1.0,11
43,2018-09,1.0,11
43,2018-10,1.0,11
43,2018-11,0.375,11
43,2018-12,1.0,11
44,2016-08,0.75,10
44,2016-09,1.0,10
44,2016-10,1.0,10
44,2016-11,1.0,10
44,2016-12,1.0,10
44,2017-01,0.6666666666666666,10
44,2017-02,0.4,11
44,2017-03,1.0,11
44,2017-04,1.0,11
44,2017-05,1.0,11
44,2017-06,1.0,11
44,2017-07,1.0,11
44,2017-08,1.0,11
44,2017-09,1.0,11
44,2017-10,1.0,11
44,2017-11,1.0,11
44,2017-12,1.0,11
44,2018-01,1.0,11
44,2018-02,1.0,11
44,2018-03,1.0,11
44,2018-04,1.0,11
44,2018-05,1.0,11
44,2018-06,1.0,11
44,2018-07,1.0,11
44,2018-08,1.0,11
44,2018-09,1.0,11
44,2018-10,1.0,11
44,2018-11,0.4,10
44,2018-12,1.0,10
45,2016-08,0.8181818181818182,10
45,2016-09,1.0,10
45,2016-10,1.0,10
45,2016-11,1.0,10
45,2016-12,1.0,10
45,2017-01,0.75,11
45,2017-02,0.4,10
45,2017-03,0.75,11
45,2017-04,0.8333333333333334,11
45,2017-05,1.0,11
45,2017-06,1.0,11
45,2017-07,1.0,11
45,2017-08,1.0,11
45,2017-09,0.75,10
45,2017-10,1.0,10
45,2017-11,1.0,10
45,2017-12,1.0,10
45,2018-01,1.0,10
45,2018-02,1.0,10
45,2018-03,1.0,10
45,2018-04,1.0,10
45,2018-05,1.0,10
45,2018-06,1.0,10
45,2018-07,1.0,10
45,2018-08,1.0,10
45,2018-09,1.0,10
45,2018-10,1.0,10
45,2018-11,0.3333333333333333,10
45,2018-12,0.8181818181818182,10
46,2016-09,0.7692307692307693,11
46,2016-10,0.8333333333333334,11
46,2016-11,1.0,11
46,2016-12,1.0,11
46,2017-01,1.0,11
46,2017-02,0.5,10
46,2017-03,0.8181818181818182,10
46,2017-04,1.0,10
46,2017-05,1.0,10
46,2017-06,1.0,10
46,2017-07,1.0,10
46,2017-08,1.0,10
46,2017-09,1.0,10
46,2017-10,1.0,10
46,2017-11,1.0,10
46,2017-12,1.0,10
46,2018-01,0.8181818181818182,10
46,2018-02,1.0,10
46,2018-03,1.0,10
46,2018-04,1.0,10
46,2018-05,0.8181818181818182,10
46,2018-06,1.0,10
46,2018-07,1.0,10
46,2018-08,1.0,10
46,2018-09,1.0,10
46,2018-10,1.0,10
46,2018-11,0.05,11
46,2018-12,1.0,11
47,2016-09,1.0,10
47,2016-10,1.0,10
47,2016-11,1.0,10
47,2016-12,1.0,10
47,2017-01,1.0,10
47,2017-02,0.2222222222222222,12
47,2017-03,1.0,12
47,2017-04,0.7692307692307693,11
47,2017-05,1.0,11
47,2017-06,1.0,11
47,2017-07,1.0,11
47,2017-08,1.0,11
47,2017-09,1.0,11
47,2017-10,0.7692307692307693,12
47,2017-11,1.0,12
47,2017-12,1.0,12
47,2018-01,1.0,12
47,2018-02,1.0,12
47,2018-03,1.0,12
47,2018-04,1.0,12
47,2018-05,1.0,12
47,2018-06,1.0,12
47,2018-07,1.0,12
47,2018-08,1.0,12
47,2018-09,1.0,12
47,2018-10,0.7692307692307693,11
47,2018-11,0.10526315789473684,10
47,2018-12,1.0,10
