month,method,total,updated,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,confidence_shift_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,use_drift_score,selection_strategy,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected,time_sec,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr
2018-07,Cluster+Standard,5600,1673,68.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2988,standard,0.607554,0.410562,-0.196992,0.10161386730424388,6.8049,0.9210185129401833,0.8166666666666667,0.0104,0.037,0.9645281666666666,0.8812602302426473
2018-08,Cluster+Standard,5600,1670,69.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2982,standard,0.484352,0.399597,-0.084755,0.10419161676646707,6.1314,0.9354104512041337,0.8816666666666667,0.0134,0.015,0.9613638333333334,0.9083033643163244
2018-09,Cluster+Standard,5600,1672,70.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2986,standard,0.451145,0.355907,-0.095238,0.10645933014354067,6.3752,0.9257240216111337,0.7916666666666666,0.0044,0.0068,0.9727779999999999,0.914347628175843
2018-10,Cluster+Standard,5558,1661,71.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2988,standard,0.95942,0.57298,-0.38644,0.10295003010234799,6.3079,0.8274685811846276,0.532258064516129,0.0032,0.4982,0.9061965949820789,0.8021854101939792
2018-11,Cluster+Standard,5437,1628,71.0,1,1,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2994,standard,0.612841,0.327922,-0.284919,0.09336609336609336,6.4093,0.9025185201283301,0.8695652173913043,0.0216,0.0326,0.9539187643020595,0.7892812708839388
2018-12,Cluster+Standard,907,276,71.0,1,1,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.3043,standard,0.647131,2.046885,1.399754,0.07971014492753623,2.0498,0.8753435953820781,0.6842105263157895,0.007058823529411765,0.36823529411764705,0.8988854489164086,0.7017836045842267
2016-01,UncertaintyOnly,3820,1147,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.3003,standard,1.386864,0.837232,-0.549632,0.17611159546643418,1.6165,0.7350407851336704,0.37026239067055394,0.009490940465918895,0.15415588150704632,0.9210580818053833,0.713967937985939
2016-02,UncertaintyOnly,4436,1329,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2996,standard,1.161776,0.523897,-0.637879,0.1053423626787058,1.888,0.8533945164037574,0.8218029350104822,0.04748673907552412,0.20712301086132862,0.9253864162169576,0.8102841521460948
2016-03,UncertaintyOnly,6454,2903,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4498,standard,0.775124,0.42443,-0.350694,0.1026524285222184,2.9989,0.9043994737214147,0.9070866141732283,0.03058944835882454,0.028183536690152947,0.9653910012408441,0.8793450858502891
2016-04,UncertaintyOnly,6981,3143,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4502,standard,0.711796,0.282625,-0.429171,0.10404072542157175,3.2328,0.8996795082722888,0.6993464052287581,0.0017271157167530224,0.12356727900769351,0.9647526776450885,0.8673230130805911
