month,cluster_id,n_members_current_month,cluster_birth_month_index,cluster_age,is_new,drift_detected,drift_applied,n_new_clusters_month,cos_sim_backproj_vs_member_mean,topk_bucket_overlap_vs_member_mean,malicious_rate_current_month,cluster_error_rate_current_month,top_features,analysis_only_full_labels,case_event
2016-04,38,13,3,0,True,True,True,5,0.8954296708106995,0.1111111111111111,0.46153846153846156,0.46153846153846156,urls::https://api_weibo_com/2/statuses/hot/repost_daily_json(+0.087); intents::android_intent_category_DEFAULT(+0.085); interesting_calls::getPackageInfo(+0.082); api_permissions::android_permission_ACCESS_WIFI_STATE(+0.079); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.079); interesting_calls::printStackTrace(+0.078); interesting_calls::getDeviceId(+0.076); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.076); api_permissions::android_permission_READ_PHONE_STATE(+0.076); app_permissions::name='android_permission_INTERNET'(+0.075),True,new_cluster
2016-04,35,28,3,0,True,True,True,5,0.8743323683738708,0.42857142857142855,0.14285714285714285,0.17857142857142858,interesting_calls::getPackageInfo(+0.133); intents::android_intent_action_MAIN(+0.132); interesting_calls::Read/Write External Storage(+0.131); api_permissions::android_permission_VIBRATE(+0.130); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.127); interesting_calls::getSystemService(+0.126); api_permissions::android_permission_INTERNET(+0.126); intents::android_intent_category_LAUNCHER(+0.125); api_permissions::android_permission_WAKE_LOCK(+0.124); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.123),True,new_cluster
2016-04,36,46,3,0,True,True,True,5,0.935858428478241,0.5384615384615384,0.13043478260869565,0.13043478260869565,api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.177); api_permissions::android_permission_INTERNET(+0.171); intents::android_intent_action_MAIN(+0.171); intents::android_intent_category_LAUNCHER(+0.170); interesting_calls::getSystemService(+0.170); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.167); app_permissions::name='android_permission_INTERNET'(+0.165); interesting_calls::printStackTrace(+0.162); interesting_calls::Read/Write External Storage(+0.162); interesting_calls::Obfuscation(Base64)(+0.161),True,new_cluster
2016-04,37,37,3,0,True,True,True,5,0.9449529051780701,0.8181818181818182,0.10810810810810811,0.05405405405405406,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.277); intents::android_intent_action_MAIN(+0.241); intents::android_intent_category_LAUNCHER(+0.241); interesting_calls::getSystemService(+0.221); interesting_calls::printStackTrace(+0.219); interesting_calls::Read/Write External Storage(+0.217); api_permissions::android_permission_WAKE_LOCK(+0.216); app_permissions::name='android_permission_INTERNET'(+0.213); api_permissions::android_permission_INTERNET(+0.213); intents::android_intent_category_DEFAULT(+0.192),True,new_cluster
2016-04,39,42,3,0,True,True,True,5,0.9155043363571167,0.8181818181818182,0.0,0.023809523809523808,intents::android_intent_action_MAIN(+0.299); intents::android_intent_category_LAUNCHER(+0.297); interesting_calls::getSystemService(+0.272); api_permissions::android_permission_INTERNET(+0.271); app_permissions::name='android_permission_INTERNET'(+0.260); activities::_MainActivity(+0.254); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.231); api_calls::android/app/NotificationManager;->notify(+0.212); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.207); interesting_calls::getPackageInfo(+0.204),True,new_cluster
2016-04,28,128,1,2,False,True,True,5,0.8679751753807068,0.25,0.40625,0.2734375,intents::android_intent_category_DEFAULT(+0.137); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.132); interesting_calls::getPackageInfo(+0.130); api_permissions::android_permission_ACCESS_WIFI_STATE(+0.129); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.128); interesting_calls::Read/Write External Storage(+0.127); interesting_calls::getDeviceId(+0.126); interesting_calls::Obfuscation(Base64)(+0.126); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.126); api_permissions::android_permission_VIBRATE(+0.125),True,new_cluster
2016-04,15,191,0,4,False,True,True,5,0.9554608464241028,0.6666666666666666,0.6178010471204188,0.14659685863874344,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.190); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.188); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.184); intents::android_intent_action_MAIN(+0.183); intents::android_intent_category_LAUNCHER(+0.183); app_permissions::name='android_permission_INTERNET'(+0.183); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.182); interesting_calls::printStackTrace(+0.177); interesting_calls::getSystemService(+0.175); interesting_calls::getPackageInfo(+0.173),True,new_cluster
2016-04,32,36,2,1,False,True,True,5,0.9094032049179077,0.1111111111111111,0.05555555555555555,0.05555555555555555,api_permissions::android_permission_VIBRATE(+0.147); api_permissions::android_permission_WAKE_LOCK(+0.095); interesting_calls::Obfuscation(Base64)(+0.093); interesting_calls::getPackageInfo(+0.092); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.092); urls::https://api_twitter_com/oauth/request_token(+0.091); urls::https://api_twitter_com/oauth/access_token(+0.091); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.089); api_permissions::android_permission_INTERNET(+0.088); interesting_calls::getSystemService(+0.088),True,new_cluster
2016-04,31,73,2,1,False,True,True,5,0.949755847454071,0.6666666666666666,0.1780821917808219,0.0410958904109589,intents::android_intent_action_MAIN(+0.232); intents::android_intent_category_LAUNCHER(+0.230); api_permissions::android_permission_WAKE_LOCK(+0.230); api_permissions::android_permission_CAMERA(+0.228); api_calls::android/hardware/Camera;->open(+0.227); interesting_calls::getSystemService(+0.220); api_permissions::android_permission_INTERNET(+0.216); interesting_calls::Read/Write External Storage(+0.211); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.198); api_permissions::android_permission_RECORD_AUDIO(+0.196),True,new_cluster
2016-04,7,317,0,4,False,True,True,5,0.9771878123283386,0.1111111111111111,0.03785488958990536,0.03785488958990536,api_permissions::android_permission_READ_CONTACTS(+0.149); urls::https://www_googletagmanager_com(+0.148); urls::http://hostname/?(+0.148); urls::http://www_google_com(+0.146); interesting_calls::getSystemService(+0.146); urls::https://www_googleapis_com/auth/drive_appdata(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.146); urls::https://www_googleapis_com/auth/drive_file(+0.146),True,new_cluster
